"date,"close","volume","open","high","low"
2014/08/29,"582.3600","1205814.0000","582.3500","582.8999","578.2400"
2014/08/28,"580.3200","1405713.0000","580.0200","584.7100","577.8800"
2014/08/27,"583.0000","1363287.0000","587.8100","589.3700","580.9000"
2014/08/26,"588.1200","1470046.0000","592.0000","592.0500","587.4500"
2014/08/25,"590.5700","1295469.0000","594.7700","595.5800","589.2600"
2014/08/22,"592.5400","876231.0000","593.2700","594.9900","589.8000"
2014/08/21,"592.4200","1131118.0000","594.9000","595.2500","591.1010"
2014/08/20,"595.4100","967253.0000","596.9500","596.9900","593.0010"
2014/08/19,"597.1100","1040746.0000","595.5900","597.8100","594.4400"
2014/08/18,"592.7000","1464370.0000","587.1000","595.0500","586.5500"
2014/08/15,"583.7100","1723366.0000","587.5000","589.4700","580.7600"
2014/08/14,"584.6500","1272369.0000","586.6900","587.8000","580.9200"
2014/08/13,"584.5600","1898211.0000","576.4500","586.1250","575.2000"
2014/08/12,"572.1200","1390807.0000","575.0000","575.9000","569.9100"
2014/08/11,"577.2500","1171290.0000","579.0000","579.6900","575.2980"
2014/08/08,"577.9400","1493324.0000","572.0200","579.5639","569.0200"
2014/08/07,"571.8100","1162124.0000","576.0500","578.3100","569.4300"
2014/08/06,"574.4900","1322760.0000","569.5000","578.6440","567.4500"
2014/08/05,"573.1400","1648328.0000","579.3800","580.2000","570.3100"
2014/08/04,"582.2700","1516299.0000","576.5100","583.8200","572.2600"
2014/08/01,"573.6000","2209772.0000","578.5550","583.4300","570.3000"
2014/07/31,"579.5500","2307214.0000","588.9600","591.9899","577.6800"
2014/07/30,"595.4400","1215052.0000","595.8100","598.4500","592.7000"
2014/07/29,"593.9500","1364289.0000","597.7000","598.4900","592.1700"
2014/07/28,"599.0200","1357713.0000","597.7500","601.0980","592.5900"
2014/07/25,"598.0800","1359950.0000","599.2500","601.0000","595.7500"
2014/07/24,"603.0100","1293149.0000","605.5300","608.9100","601.0000"
2014/07/23,"605.1900","1105900.0000","602.0500","607.0500","601.3500"
2014/07/22,"603.5700","1879176.0000","599.7000","608.8900","599.2576"
2014/07/21,"598.4400","2237320.0000","601.3500","604.1600","594.4500"
2014/07/18,"605.1100","4869149.0000","603.0100","606.7000","590.9200"
2014/07/17,"580.8200","2906223.0000","588.9700","589.5000","576.8500"
2014/07/16,"590.6200","1440365.0000","596.8900","597.0000","590.2500"
2014/07/15,"593.0600","1672965.0000","595.1500","595.2999","585.3100"
2014/07/14,"594.2600","1951055.0000","590.6000","594.8600","586.6930"
2014/07/11,"586.6500","1511384.0000","581.0000","588.2300","580.5750"
2014/07/10,"580.0400","1434626.0000","573.0000","585.2500","572.1001"
2014/07/09,"583.3600","1371057.0000","578.9500","584.1000","577.0000"
2014/07/08,"578.4000","2125090.0000","586.3650","587.9700","574.0000"
2014/07/07,"590.7600","1334876.0000","593.5100","595.6450","587.9400"
2014/07/03,"593.0800","898852.0000","591.7000","594.2500","589.0000"
2014/07/02,"590.7800","1195250.0000","592.2600","594.1500","589.1100"
2014/07/01,"591.4900","1643199.0000","587.6500","593.6600","586.2900"
2014/06/30,"584.6700","1478867.0000","586.7600","587.7100","583.2900"
2014/06/27,"585.6900","2015965.0000","585.4500","587.8800","582.6200"
2014/06/26,"584.7700","2001257.0000","589.3000","589.6000","579.6000"
2014/06/25,"585.9300","2110029.0000","573.5500","587.3000","573.2600"
2014/06/24,"572.5400","2843997.0000","574.2200","582.2500","569.1600"
2014/06/23,"574.2900","1722711.0000","564.3500","574.4400","563.5000"
2014/06/20,"566.5200","3156309.0000","566.4500","566.7700","559.3700"
2014/06/19,"564.9900","2627242.0000","561.1500","565.0000","556.6679"
2014/06/18,"560.6600","2057643.0000","552.8000","561.4000","551.5800"
2014/06/17,"550.6150","1477494.0000","552.3600","553.7400","547.4700"
2014/06/16,"552.3000","1938486.0000","557.2500","557.9900","550.0000"
2014/06/13,"560.3500","1353287.0000","560.0800","560.6500","553.7200"
2014/06/12,"559.5000","1546085.0000","567.0000","567.0000","557.1500"
2014/06/11,"567.5000","1128417.0000","565.9200","568.9700","563.6800"
2014/06/10,"568.3000","1472116.0000","568.7800","572.0000","566.1300"
2014/06/09,"570.7300","1529355.0000","566.7500","572.0000","565.2200"
2014/06/06,"566.0300","1740248.0000","568.1600","568.7999","559.5800"
2014/06/05,"564.9300","1792859.0000","557.1100","565.0000","555.0500"
2014/06/04,"553.7600","1729048.0000","551.5200","558.5800","548.5600"
2014/06/03,"554.5100","2026954.0000","560.9000","562.4000","552.5275"
2014/06/02,"564.3400","1660355.0000","569.7500","570.4100","556.7000"
2014/05/30,"571.6500","1871693.0000","571.6400","572.5800","565.7900"
2014/05/29,"570.5600","1409408.0000","573.3900","573.4800","568.4525"
2014/05/28,"570.4500","1580200.0000","574.5700","577.6600","569.9520"
2014/05/27,"574.8700","2185798.0000","567.7800","574.8700","564.1500"
2014/05/23,"563.8000","2672414.0000","558.1300","565.0000","554.1700"
2014/05/22,"555.4500","2146620.0000","552.2000","557.9600","551.0000"
2014/05/21,"549.7000","1562619.0000","542.9000","549.7500","542.1100"
2014/05/20,"540.3900","2424962.0000","540.0000","546.3500","536.5700"
2014/05/19,"538.8300","1976325.0000","528.8800","539.3500","525.6600"
2014/05/16,"528.3000","1907537.0000","529.6000","530.8400","523.5700"
2014/05/15,"529.1200","1829143.0000","533.1400","533.9999","525.3100"
2014/05/14,"534.4100","1280903.0000","541.8200","541.8200","533.1100"
2014/05/13,"541.5400","2010474.0000","539.5800","543.9900","537.9000"
2014/05/12,"538.4300","1944902.0000","531.8400","538.7500","527.5100"
2014/05/09,"526.6200","2261215.0000","518.6500","527.3500","514.2800"
2014/05/08,"520.1700","2450440.0000","515.7200","527.3500","514.4600"
2014/05/07,"518.0000","3071981.0000","523.2500","524.4300","511.0900"
2014/05/06,"522.5700","1834320.0000","533.4100","534.5480","522.2601"
2014/05/05,"535.3300","1228390.0000","530.2400","535.7200","527.5800"
2014/05/02,"533.8700","1779648.0000","541.4400","542.4000","533.2700"
2014/05/01,"538.5300","2003547.0000","534.2500","539.9100","532.8600"
2014/04/30,"534.8800","2036412.0000","535.1200","536.3400","529.0900"
2014/04/29,"536.3300","2531953.0000","523.8900","537.7600","523.0000"
2014/04/28,"522.9800","3750042.0000","525.8000","525.9000","511.0000"
2014/04/25,"523.1000","2369938.0000","532.2600","533.8600","522.5000"
2014/04/24,"534.4400","2065546.0000","541.6900","542.5000","531.0000"
2014/04/23,"537.5100","1954017.0000","543.6700","544.8000","528.1277"
2014/04/22,"545.5000","2326897.0000","536.0000","547.9950","536.0000"
2014/04/21,"539.3700","2422418.0000","544.0000","544.0000","534.0000"
2014/04/17,"543.3400","5604179.0000","556.3200","557.0000","539.4000"
2014/04/16,"563.9000","4535718.0000","557.7000","564.0000","553.1000"
2014/04/15,"548.7000","3992074.0000","551.0000","552.8900","530.6400"
2014/04/14,"545.2000","2538776.0000","543.6600","553.0200","540.5200"
2014/04/11,"537.7600","3174702.0000","537.9400","547.5900","533.4000"
2014/04/10,"546.6900","3294330.0000","568.0000","568.2100","545.5000"
2014/04/09,"567.0400","3031068.0000","565.8400","567.8000","555.3800"
2014/04/08,"557.5100","3482243.0000","545.0500","559.8800","544.7000"
2014/04/07,"540.6300","3946815.0000","544.7900","549.8500","530.5300"
2014/04/04,"545.2500","5363131.0000","578.5500","579.7173","544.4940"
2014/04/03,"571.5000","4012659.0000","573.3900","588.3000","566.0100"
2014/04/02,"573.3900","2085760.0000","576.8250","578.2899","567.7829"
2014/04/01,"573.2839","2180443.0000","565.8987","574.6023","564.7520"
2014/03/31,"562.9890","1939988.0000","571.0158","573.3395","562.1505"
2014/03/28,"565.8381","2253524.0000","565.2571","572.4251","564.6358"
2014/03/27,"562.8729","3818631.0000","571.2431","571.7937","556.7202"
2014/03/26,"571.8089","2554077.0000","586.9834","591.8126","571.5715"
2014/03/25,"585.3215","2410125.0000","588.9990","590.9387","579.4012"
2014/03/24,"584.9224","3036542.0000","598.1875","598.5462","578.8708"
2014/03/21,"597.6066","3207477.0000","609.3613","611.0384","597.3086"
2014/03/20,"604.7393","1684681.0000","606.1486","611.0283","603.8300"
2014/03/19,"605.7950","1610833.0000","612.1346","612.2306","603.3501"
2014/03/18,"611.8618","1817951.0000","603.4815","611.9982","602.6682"
2014/03/17,"602.1832","2160095.0000","595.6921","604.6938","595.1163"
2014/03/14,"592.4339","2293388.0000","597.0762","601.5619","592.2975"
2014/03/13,"600.6476","2339645.0000","610.1898","611.4779","598.4755"
2014/03/12,"609.8614","1964277.0000","604.3554","610.1393","598.1875"
2014/03/11,"606.1688","1712649.0000","613.1297","613.4075","604.4766"
2014/03/10,"612.0184","1214528.0000","614.0996","615.0821","608.2400"
2014/03/07,"613.6450","1514730.0000","619.7118","619.8054","611.9517"
2014/03/06,"616.0798","1267959.0000","617.4285","619.3809","615.5696"
2014/03/05,"615.3978","1235272.0000","613.7763","617.8326","611.9356"
2014/03/04,"613.7056","1467631.0000","613.7511","614.2562","610.9728"
2014/03/03,"607.5327","2104616.0000","609.5836","610.1342","602.2034"
2014/02/28,"614.0794","2313176.0000","616.4485","618.3933","609.3159"
2014/02/27,"615.8777","1259795.0000","615.4635","618.4161","614.7669"
2014/02/26,"616.3627","1982121.0000","618.2974","620.7625","613.1247"
2014/02/25,"616.2768","1438445.0000","614.2259","618.5499","611.4392"
2014/02/24,"612.4932","1674113.0000","608.8815","616.3576","608.7501"
2014/02/21,"608.0884","1862284.0000","610.1191","611.1597","607.6060"
2014/02/20,"608.2500","1700843.0000","607.7600","609.6518","606.2850"
2014/02/19,"607.3559","2103507.0000","608.8511","610.8313","604.9120"
2014/02/18,"611.6699","2108553.0000","606.8861","612.6751","606.1739"
2014/02/14,"607.5883","2193285.0000","603.9563","608.3915","602.5368"
2014/02/13,"606.1234","1835894.0000","596.4498","606.1234","595.8992"
2014/02/12,"599.4504","1724490.0000","600.6173","601.1224","596.7681"
2014/02/11,"601.2134","2050377.0000","596.1569","602.0651","592.1359"
2014/02/10,"592.4996","1944075.0000","591.9288","597.2833","590.5245"
2014/02/07,"594.7778","2685432.0000","589.8223","595.0102","586.2515"
2014/02/06,"585.9479","1945997.0000","581.4874","586.0489","579.6790"
2014/02/05,"577.4816","2394325.0000","577.5726","581.3056","569.8136"
2014/02/04,"574.9357","2811838.0000","574.8498","583.4424","574.3548"
2014/02/03,"572.5464","4568875.0000","595.6669","596.9408","571.8266"
2014/01/31,"596.5610","5565423.0000","591.7015","599.3746","581.4874"
2014/01/30,"573.5385","5076247.0000","578.3909","582.1744","569.4246"
2014/01/29,"559.1550","2364192.0000","565.3178","566.6463","555.3664"
2014/01/28,"567.2828","2208315.0000","560.8725","568.6664","560.6805"
2014/01/27,"556.2807","4352585.0000","568.8437","569.0457","546.7032"
2014/01/24,"567.6970","3918938.0000","581.4268","582.7074","567.2777"
2014/01/23,"586.0186","1948578.0000","585.9681","587.2259","583.1241"
2014/01/22,"588.5039","1571311.0000","589.3071","589.9537","585.3922"
2014/01/21,"587.8371","1979510.0000","586.4379","587.9887","581.5733"
2014/01/17,"581.1844","2700584.0000","584.3769","586.2863","577.9868"
2014/01/16,"584.0586","1683876.0000","580.4620","584.9219","579.9063"
