"date","close","volume","open","high","low"
"2014/08/29","38.0000","6211948.0000","38.0300","38.1788","37.8150"
"2014/08/28","37.9900","6971615.0000","37.9000","38.0900","37.6000"
"2014/08/27","38.1600","9715485.0000","37.8000","38.2000","37.5400"
"2014/08/26","37.8300","13884990.0000","37.2400","38.1300","37.1100"
"2014/08/25","37.1500","10954790.0000","36.9900","37.3600","36.7800"
"2014/08/22","36.8400","14397630.0000","36.8500","37.0700","36.6500"
"2014/08/21","37.0000","39497890.0000","35.3900","37.3950","35.2700"
"2014/08/20","35.1200","18563980.0000","35.7200","35.7200","34.8700"
"2014/08/19","35.4800","8751304.0000","35.5100","35.7700","35.2900"
"2014/08/18","35.3400","9569086.0000","35.5100","35.5400","35.2200"
"2014/08/15","35.0700","11510500.0000","35.7300","35.7500","34.9144"
"2014/08/14","35.5900","9814462.0000","35.3000","35.6150","34.9600"
"2014/08/13","35.3000","6787153.0000","35.2600","35.4300","35.0500"
"2014/08/12","35.1200","4831666.0000","35.2800","35.3300","34.8600"
"2014/08/11","35.2000","5975950.0000","35.4300","35.5300","35.1200"
"2014/08/08","35.1700","5648955.0000","34.7700","35.2150","34.6300"
"2014/08/07","34.8200","6438219.0000","35.2200","35.3800","34.6640"
"2014/08/06","35.0400","6112139.0000","34.6700","35.2800","34.4500"
"2014/08/05","35.0700","5641059.0000","35.1100","35.3300","34.8200"
"2014/08/04","35.3300","6453916.0000","35.2800","35.4500","35.0000"
"2014/08/01","35.1900","11857080.0000","35.3300","35.4300","34.4700"
"2014/07/31","35.6100","10709240.0000","35.7300","35.8600","35.4500"
"2014/07/30","36.1100","9724249.0000","36.0000","36.1950","35.8400"
"2014/07/29","35.9400","12212770.0000","35.7100","36.2100","35.6000"
"2014/07/28","35.6000","6782301.0000","35.4000","35.6100","35.2500"
"2014/07/25","35.4300","8215423.0000","34.7600","35.5700","34.6700"
"2014/07/24","35.0400","7308527.0000","35.1300","35.1800","34.8700"
"2014/07/23","34.9800","6425852.0000","35.1700","35.3500","34.9800"
"2014/07/22","35.1500","8165045.0000","34.5500","35.2900","34.5200"
"2014/07/21","34.5200","7301184.0000","34.7800","34.8400","34.3900"
"2014/07/18","34.8100","10370820.0000","34.5200","34.8400","34.4400"
"2014/07/17","34.4300","13630220.0000","34.6900","34.6900","34.3300"
"2014/07/16","34.8200","19220050.0000","34.4200","35.1200","34.4200"
"2014/07/15","34.1500","7717940.0000","34.3500","34.4700","34.0000"
"2014/07/14","34.1500","10871310.0000","34.2000","34.3400","34.0100"
"2014/07/11","33.9700","6444486.0000","33.9300","34.1800","33.8900"
"2014/07/10","33.8500","8630421.0000","33.4400","34.0100","33.2400"
"2014/07/09","33.6500","5672355.0000","33.5500","33.7900","33.5100"
"2014/07/08","33.5000","7179696.0000","33.8800","33.9300","33.4300"
"2014/07/07","33.8700","6907080.0000","33.9100","34.0000","33.6700"
"2014/07/03","34.0000","4860521.0000","34.0400","34.1150","33.9175"
"2014/07/02","33.8800","8961237.0000","34.2100","34.2400","33.8600"
"2014/07/01","34.1800","8622698.0000","33.9300","34.4200","33.6800"
"2014/06/30","33.6800","7081779.0000","33.8900","34.0200","33.6400"
"2014/06/27","33.9100","9115502.0000","33.8700","34.0200","33.6700"
"2014/06/26","33.9100","6577772.0000","33.7600","33.9500","33.5800"
"2014/06/25","33.5900","10121550.0000","33.8500","33.8500","33.4500"
"2014/06/24","33.9500","9885442.0000","34.5400","34.5700","33.9300"
"2014/06/23","34.5200","8209509.0000","34.3800","34.5400","34.0100"
"2014/06/20","34.2200","10980160.0000","34.5300","34.5500","34.2100"
"2014/06/19","34.4800","5955852.0000","34.6900","34.8000","34.3400"
"2014/06/18","34.7100","6353240.0000","34.9400","34.9800","34.4100"
"2014/06/17","34.9100","6945103.0000","34.9000","35.0700","34.7200"
"2014/06/16","34.9000","9896194.0000","35.0600","35.0600","34.6300"
"2014/06/13","35.1600","22165980.0000","34.0000","35.2000","33.8100"
"2014/06/12","33.3900","12558190.0000","33.7400","34.3000","33.2900"
"2014/06/11","33.2500","5715004.0000","33.4600","33.6300","33.1400"
"2014/06/10","33.6100","4678479.0000","33.6300","33.8400","33.4800"
"2014/06/09","33.7400","6783017.0000","33.6900","33.9200","33.4500"
"2014/06/06","33.8400","5974732.0000","33.8400","33.9900","33.7700"
"2014/06/05","33.8700","6223812.0000","33.7100","33.9000","33.5600"
"2014/06/04","33.7600","5659711.0000","33.5500","33.8700","33.4600"
"2014/06/03","33.6900","8068124.0000","33.4200","33.8100","33.2300"
"2014/06/02","33.4300","10206190.0000","33.3700","33.6400","33.0500"
"2014/05/30","33.5000","12427860.0000","33.5600","33.8000","33.3600"
"2014/05/29","33.6400","9857955.0000","33.4200","33.8300","33.3300"
"2014/05/28","33.3500","9502645.0000","33.0500","33.5800","33.0000"
"2014/05/27","33.1000","19861890.0000","33.5000","33.6500","32.8000"
"2014/05/23","33.7200","40737780.0000","32.3100","34.0900","32.2400"
"2014/05/22","31.7800","32095400.0000","32.4500","33.3600","31.2100"
"2014/05/21","32.5200","10258040.0000","32.9800","33.0940","32.3800"
"2014/05/20","32.8000","8764543.0000","33.1400","33.2400","32.6896"
"2014/05/19","33.1100","10141250.0000","32.5500","33.1677","32.4750"
"2014/05/16","32.5200","8015801.0000","32.3700","32.5200","32.1850"
"2014/05/15","32.4100","7216151.0000","32.9700","33.0900","32.3500"
"2014/05/14","32.9700","6778546.0000","33.1300","33.3399","32.9000"
"2014/05/13","33.2800","7336353.0000","32.9200","33.3400","32.8100"
"2014/05/12","32.8200","5973113.0000","32.4000","32.8900","32.3800"
"2014/05/09","32.3600","5590835.0000","32.2300","32.4000","32.0000"
"2014/05/08","32.2300","6690073.0000","32.2900","32.8100","32.0900"
"2014/05/07","32.3200","8460587.0000","32.3400","32.4600","31.8450"
"2014/05/06","32.1300","7036682.0000","32.4800","32.6000","32.1000"
"2014/05/05","32.5000","7027030.0000","32.2900","32.5800","32.0300"
"2014/05/02","32.4900","6418536.0000","32.7400","32.7900","32.3900"
"2014/05/01","32.6400","8943806.0000","33.1200","33.2800","32.5200"
"2014/04/30","33.0600","11327320.0000","32.7800","33.2700","32.6403"
"2014/04/29","32.9600","12261610.0000","32.7200","33.0900","32.6200"
"2014/04/28","32.1900","10614890.0000","31.6500","32.3300","31.5000"
"2014/04/25","31.5800","9088247.0000","31.8300","31.9300","31.4300"
"2014/04/24","32.0000","11635670.0000","31.9400","32.0800","31.7500"
"2014/04/23","31.7400","8775211.0000","31.8400","31.9600","31.5900"
"2014/04/22","31.7700","13541140.0000","31.8900","32.0700","31.6300"
"2014/04/21","31.9400","15289780.0000","32.0400","32.4400","31.8800"
"2014/04/17","31.9300","21225280.0000","32.2900","32.4900","31.4500"
"2014/04/16","32.4900","11551220.0000","32.6000","33.1000","32.2900"
"2014/04/15","32.3900","13147010.0000","32.9900","33.0000","31.8750"
"2014/04/14","32.9000","13850780.0000","32.6000","33.2900","32.5600"
"2014/04/11","32.4500","18736030.0000","32.5700","32.9400","32.2900"
"2014/04/10","32.8000","25617810.0000","33.3000","33.9000","32.7900"
"2014/04/09","32.7200","12586990.0000","32.6400","32.8800","32.2800"
"2014/04/08","32.4500","13589380.0000","32.6900","32.7800","31.9400"
"2014/04/07","32.7000","12187910.0000","32.9000","33.1000","32.5100"
"2014/04/04","32.6400","13662750.0000","33.2300","33.4800","32.4100"
"2014/04/03","33.0000","15440300.0000","33.6200","33.6400","32.8400"
"2014/04/02","33.6100","14188560.0000","33.3400","33.6600","33.0100"
"2014/04/01","33.2300","16457910.0000","32.3000","33.4500","32.2900"
"2014/03/31","32.3600","8801119.0000","32.2900","32.5855","32.2500"
"2014/03/28","32.0400","11101230.0000","32.1900","32.5500","31.9400"
"2014/03/27","31.9300","12317450.0000","32.1600","32.2900","31.6500"
"2014/03/26","32.3500","17237740.0000","32.7700","33.1150","32.3300"
"2014/03/25","32.5600","17217570.0000","31.8200","32.5600","31.7500"
"2014/03/24","31.6300","13328810.0000","32.0200","32.2100","31.6000"
"2014/03/21","31.9500","23672620.0000","31.8300","32.2130","31.6500"
"2014/03/20","31.4800","23915260.0000","31.5000","32.4100","31.4600"
"2014/03/19","31.6200","23149210.0000","30.6000","31.7400","30.5700"
"2014/03/18","30.5600","19144150.0000","30.0300","30.6300","29.9000"
"2014/03/17","29.4800","7062566.0000","29.2500","29.6936","29.2300"
"2014/03/14","29.0700","8105064.0000","28.8700","29.3800","28.8300"
"2014/03/13","28.9100","13198470.0000","29.6400","29.8500","28.7500"
"2014/03/12","29.5900","7404332.0000","29.8100","29.8400","29.4100"
"2014/03/11","29.9100","7073155.0000","30.0000","30.2600","29.7800"
"2014/03/10","29.9000","7427763.0000","30.0500","30.2550","29.8500"
"2014/03/07","30.3400","9285446.0000","30.2500","30.4800","30.0350"
"2014/03/06","30.0900","7135208.0000","29.9900","30.2000","29.8500"
"2014/03/05","29.9400","6507244.0000","30.1200","30.1500","29.8500"
"2014/03/04","30.1200","13336740.0000","29.9300","30.2400","29.8601"
"2014/03/03","29.7300","12456020.0000","29.2600","29.8500","28.8200"
"2014/02/28","29.8800","13148770.0000","29.8400","30.3600","29.6500"
"2014/02/27","29.7500","11122050.0000","29.7200","29.8925","29.6300"
"2014/02/26","29.9000","9007032.0000","29.9100","30.2000","29.8100"
"2014/02/25","29.8800","9205442.0000","29.8200","30.0000","29.5650"
"2014/02/24","29.9200","14417950.0000","29.6600","30.1700","29.4500"
"2014/02/21","29.7900","29806360.0000","30.6200","30.7100","29.5000"
"2014/02/20","30.1900","26730070.0000","29.3200","30.2800","29.1000"
"2014/02/19","29.4500","14889160.0000","29.4300","29.7700","29.2600"
"2014/02/18","29.5800","11250830.0000","30.0000","30.0500","29.5700"
"2014/02/14","30.0200","9526309.0000","29.8600","30.1200","29.7161"
"2014/02/13","29.8300","9492629.0000","29.3100","29.9200","29.1800"
"2014/02/12","29.4200","9725512.0000","29.3600","29.7900","29.3600"
"2014/02/11","29.3600","8613553.0000","28.8800","29.4900","28.8000"
"2014/02/10","28.8100","7813706.0000","29.0100","29.2250","28.6400"
"2014/02/07","29.0700","7577324.0000","28.7000","29.1600","28.6900"
"2014/02/06","28.4900","6693708.0000","28.2300","28.6600","28.2000"
"2014/02/05","28.0100","10277990.0000","28.1700","28.4400","27.9000"
"2014/02/04","28.3300","9581273.0000","28.1400","28.4100","27.8900"
"2014/02/03","28.0400","14655380.0000","29.0600","29.2900","27.9600"
"2014/01/31","29.0000","12934260.0000","28.9400","29.1900","28.7400"
"2014/01/30","29.2500","9095698.0000","29.1500","29.4200","29.0800"
"2014/01/29","29.0200","13915740.0000","28.9200","29.1500","28.7500"
