"date","close","volume","open","high","low"
2014/08/29,"45.4300","21577940.0000","45.0900","45.4400","44.8550"
2014/08/28,"44.8800","17656590.0000","44.7500","44.9800","44.6100"
2014/08/27,"44.8700","20822900.0000","44.9000","45.0000","44.7600"
2014/08/26,"45.0050","14850670.0000","45.3100","45.3950","44.9400"
2014/08/25,"45.1700","16815800.0000","45.4000","45.4400","45.0400"
2014/08/22,"45.1500","18293690.0000","45.3500","45.4700","45.0700"
2014/08/21,"45.2200","22272010.0000","44.8400","45.2500","44.8300"
2014/08/20,"44.9500","24747360.0000","45.3400","45.4000","44.9000"
2014/08/19,"45.3300","28087670.0000","44.9700","45.3400","44.8300"
2014/08/18,"45.1100","26882850.0000","44.9400","45.1100","44.6800"
2014/08/15,"44.7900","41573360.0000","44.5800","44.8950","44.4000"
2014/08/14,"44.2700","19304230.0000","44.0800","44.4170","44.0100"
2014/08/13,"44.0800","22851140.0000","43.6800","44.1800","43.5200"
2014/08/12,"43.5200","21422980.0000","43.0400","43.5900","43.0000"
2014/08/11,"43.2000","19829060.0000","43.2600","43.4500","43.0200"
2014/08/08,"43.2000","28942570.0000","43.2300","43.3150","42.9100"
2014/08/07,"43.2300","30300560.0000","42.8400","43.4500","42.6500"
2014/08/06,"42.7400","24625300.0000","42.7400","43.1700","42.2100"
2014/08/05,"43.0800","26258880.0000","43.3100","43.4600","42.8300"
2014/08/04,"43.3700","34200470.0000","42.9700","43.4700","42.8100"
2014/08/01,"42.8600","30926280.0000","43.2100","43.2500","42.6000"
2014/07/31,"43.1600","31527670.0000","43.3800","43.6900","43.0800"
2014/07/30,"43.5785","31918500.0000","44.0700","44.1000","43.2900"
2014/07/29,"43.8850","27755840.0000","43.9100","44.0900","43.6400"
2014/07/28,"43.9700","29650540.0000","44.3600","44.5100","43.9300"
2014/07/25,"44.5000","26700810.0000","44.3000","44.6600","44.3000"
2014/07/24,"44.4000","30692230.0000","44.9300","45.0000","44.3200"
2014/07/23,"44.8700","52352270.0000","45.4500","45.4500","44.6200"
2014/07/22,"44.8300","42589920.0000","45.0000","45.1500","44.5900"
2014/07/21,"44.8350","37569630.0000","44.5600","45.1600","44.2200"
2014/07/18,"44.6900","43396060.0000","44.6500","44.8400","44.2500"
2014/07/17,"44.5300","82146080.0000","45.4500","45.7100","44.2500"
2014/07/16,"44.0800","63304860.0000","42.5100","44.3100","42.4800"
2014/07/15,"42.4500","28743300.0000","42.3300","42.4700","42.0300"
2014/07/14,"42.1400","21878810.0000","42.2200","42.4500","42.0400"
2014/07/11,"42.0900","24082750.0000","41.7000","42.0900","41.4800"
2014/07/10,"41.6850","21854010.0000","41.3700","42.0000","41.0500"
2014/07/09,"41.6700","18374910.0000","41.9800","41.9900","41.5300"
